"DisplayName","Nationality"
"Pierre Bonnard","French"
"Georges Braque","French"
"Marc Chagall","French"
"Giorgio de Chirico","Italian"
"Robert Delaunay","French"
"André Derain","French"
"Raoul Dufy","French"
"Jean Fautrier","French"
"Jean-Louis Forain","French"
"Othon Friesz","French"
"Marcel Gromaire","French"
"Moïse Kisling","French"
"Marie Laurencin","French"
"Fernand Léger","French"
"Jean Lurçat","French"
"Henri Matisse","French"
"Joan Miró","Spanish"
"Pablo Picasso","Spanish"
"Georges Rouault","French"
"André Dunoyer de Segonzac","French"
"Chaim Soutine","French"
"Léopold Survage","French"
"Maurice Utrillo","French"
"Maurice de Vlaminck","French"
"Édouard Vuillard","French"
"Paul Klee","German"
"Wilhelm Lehmbruck","German"
"Aristide Maillol","French"
"Max Weber","American"
"Awa Tsireh (Alfonso Roybal)","American"
"Peggy Bacon","American"
"Ahron Ben-Shmuel","American"
"Peter Blume","American"
"Francisco Borès","Spanish"
"Alexander Brook","American"
"Jean Charlot","American"
"Miguel Covarrubias","Mexican"
"James Edward Davis","American"
"Isami Doi","American"
"Duncan Ferguson","American"
"John Bernard Flannagan","American"
"Charles L. Goeller","American"
"Arshile Gorky","American"
"Stefan Hirsch","American"
"Reginald Marsh","American"
"Reuben Nakian","American"
"Isamu Noguchi","American"
"Joseph Pollet","American"
"Concetta Scaravaglione","American"
"Ben Shahn","American"
"Pavel Tchelitchew","American"
"Franklin Chenault Watkins","American"
"Charles Burchfield","American"
"Thomas Eakins","American"
"Winslow Homer","American"
"Albert Pinkham Ryder","American"
"Rudolf Belling","German"
"Paul Cézanne","French"
"Charles Demuth","American"
"Charles Despiau","French"
"Preston Dickinson","American"
"Paul Gauguin","French"
"Vincent van Gogh","Dutch"
"George Overbury (""Pop"") Hart","American"
"Edward Hopper","American"
"Bernard Karfiol","American"
"Walt Kuhn","American"
"Yasuo Kuniyoshi","American"
"John Marin","American"
"Kenneth Hayes Miller","American"
"Georgia O'Keeffe","American"
"Jules Pascin","American"
"Georges-Pierre Seurat","French"
"John Sloan","American"
"Eugene Speicher","American"
"Maurice Sterne","American"
"Jean-Baptiste-Camille Corot","French"
"Honoré Daumier","French"
"Alfred H. Barr, Jr.","American"
"Gifford Beal","American"
"Paul Burlin","American"
"Alexander Calder","American"
"Vincent Canadé","American"
"Arthur B. Carles","American"
"Merton Clivette","American"
"Andrew Dasburg","American"
"Stuart Davis","American"
"Paul Dougherty","American"
"Arthur Dove","American"
"Guy Pène du Bois","American"
"Ernest Fiene","American"
"Arnold Friedman","American"
"William Glackens","American"
"Anna Glenny","American"
"Marsden Hartley","American"
"Childe Hassam","American"
"John Kane","American"
"Morris Kantor","American"
"Karl Knaths","American"
"Benjamin Kopman","American"
"Leon Kroll","American"
"Gaston Lachaise","American"
"Sidney Laufman","American"
"Robert Laurent","American"
"George Luks","American"
"Henry Lee McFee","American"
"Boardman Robinson","American"
"Charles Sheeler","American"
"Niles Spencer","American"
"Augustus Vincent Tack","American"
"Mark Tobey","American"
"William Zorach","American"
"Odilon Redon","French"
"Henri de Toulouse-Lautrec","French"
"Ernst Barlach","German"
"Willi Baumeister","German"
"Max Beckmann","German"
"Heinrich Campendonk","German"
"Otto Dix","German"
"Ernesto de Fiori","Italian"
"George Grosz","American"
"Erich Heckel","German"
"Karl Hofer","German"
"Ernst Ludwig Kirchner","German"
"Paul Kleinschmidt","German"
"Oskar Kokoschka","Austrian"
"Georg Kolbe","German"
"Franz Marc","German"
"Gerhard Marcks","German"
"Paula Modersohn-Becker","German"
"Johannes Molzahn","German"
"Otto Mueller","German"
"Emil Nolde","German"
"Max Pechstein","German"
"Christian Rohlfs","German"
"Oskar Schlemmer","German"
"Karl Schmidt-Rottluff","German"
"Georg Schrimpf","German"
"Renée Sintenis","German"
"Arthur B. Davies","American"
"Hilaire-Germain-Edgar Degas","French"
"Constantin Guys","French"
"Amedeo Modigliani","Italian"
"Claude Monet","French"
