"ExhibitionID","ExhibitionNumber","ExhibitionTitle","ExhibitionCitationDate","ExhibitionBeginDate","ExhibitionEndDate","ExhibitionSortOrder","ExhibitionURL","ExhibitionRole","ExhibitionRoleinPressRelease","ConstituentID","ConstituentType","DisplayName","AlphaSort","FirstName","MiddleName","LastName","Suffix","Institution","Nationality","ConstituentBeginDate","ConstituentEndDate","ArtistBio","Gender","VIAFID","WikidataID","ULANID","ConstituentURL","Year"
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",665,"Individual","Pierre Bonnard","Bonnard Pierre","Pierre","","Bonnard","","","French",1867,1947,"French, 18671947","Male",66499977,"Q26408",500115555,"moma.org/artists/665",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",744,"Individual","Georges Braque","Braque Georges","Georges","","Braque","","","French",1882,1963,"French, 18821963","Male",9867924,"Q153793",500025200,"moma.org/artists/744",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1055,"Individual","Marc Chagall","Chagall Marc","Marc","","Chagall","","","French",1887,1985,"French, born Belarus. 18871985","Male",103953801,"Q93284",500115354,"moma.org/artists/1055",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1106,"Individual","Giorgio de Chirico","Chirico Giorgio de","Giorgio de","","Chirico","","","Italian",1888,1978,"Italian, born Greece. 18881978","Male",104172730,"Q156622",500032635,"moma.org/artists/1106",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1479,"Individual","Robert Delaunay","Delaunay Robert","Robert","","Delaunay","","","French",1885,1941,"French, 18851941","Male",68979341,"Q33978",500023463,"moma.org/artists/1479",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1500,"Individual","André Derain","Derain André","André","","Derain","","","French",1880,1954,"French, 18801954","Male",2469239,"Q156272",500004535,"moma.org/artists/1500",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",61686,"Individual","Maurice Dufrèsne","Dufrèsne Maurice","Maurice","Dufrèsne","","","",NA,NA,NA,"","",NA,"",NA,"moma.org/artists/61686",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1646,"Individual","Raoul Dufy","Dufy Raoul","Raoul","","Dufy","","","French",1877,1953,"French, 18771953","Male",56661160,"Q45205",500024166,"moma.org/artists/1646",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1815,"Individual","Jean Fautrier","Fautrier Jean","Jean","","Fautrier","","","French",1898,1964,"French, 18981964","Male",66467022,"Q537838",500002013,"moma.org/artists/1815",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",1935,"Individual","Jean-Louis Forain","Forain Jean-Louis","Jean-Louis","","Forain","","","French",1852,1931,"French, 18521931","Male",44307245,"Q719614",500115211,"moma.org/artists/1935",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",2012,"Individual","Othon Friesz","Friesz Othon","Othon","","Friesz","","","French",1879,1949,"French, 18791949","Male",2603019,"Q708482",500031339,"moma.org/artists/2012",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",2356,"Individual","Marcel Gromaire","Gromaire Marcel","Marcel","","Gromaire","","","French",1892,1971,"French, 18921971","Male",19678327,"Q690155",500009137,"moma.org/artists/2356",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",22445,"Individual","Moïse Kisling","Kisling Moïse","Moïse","","Kisling","","","French",1891,1953,"French, born Poland. 18911953","Male",19687435,"Q281812",500027290,"moma.org/artists/22445",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",3408,"Individual","Marie Laurencin","Laurencin Marie","Marie","","Laurencin","","","French",1883,1956,"French, 18831956","Female",122131844,"Q233088",500011424,"moma.org/artists/3408",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",6624,"Individual","Fernand Léger","Léger Fernand","Fernand","","Léger","","","French",1881,1955,"French, 18811955","Male",34459370,"Q157183",500027374,"moma.org/artists/6624",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",3641,"Individual","Jean Lurçat","Lurçat Jean","Jean","","Lurcat","","","French",1892,1966,"French, 18921966","Male",31999657,"Q468453",500014846,"moma.org/artists/3641",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",3832,"Individual","Henri Matisse","Matisse Henri","Henri","","Matisse","","","French",1869,1954,"French, 18691954","Male",42630086,"Q5589",500017300,"moma.org/artists/3832",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",4016,"Individual","Joan Miró","Miró Joan","Joan","","Miró","","","Spanish",1893,1983,"Spanish, 18931983","Male",9850739,"Q152384",500014094,"moma.org/artists/4016",1930
2942,"3","Painting in Paris","[MoMA Exh. #3, January 18-March 2, 1930]",1930-01-19,1930-03-02,3,"moma.org/calendar/exhibitions/2024","Artist","Artist",4609,"Individual","Pablo Picasso","Picasso Pablo","Pablo","","Picasso","","","Spanish",1881,1973,"Spanish, 18811973","Male",15873,"Q5593",500009666,"moma.org/artists/4609",1930
