"Source","Target","Weight"
"American","Argentine",3
"American","Australian",1
"American","Austrian",10
"American","Belgian",7
"American","Brazilian",7
"American","British",19
"American","Canadian",4
"American","Chilean",6
"American","Cuban",7
"American","Czech",3
"American","Dutch",14
"American","English",2
"American","Finnish",3
"American","Flemish",2
"American","Florentine",2
"American","French",33
"American","German",22
"American","Guatemalan",3
"American","Hungarian",1
"American","Irish",1
"American","Italian",19
"American","Japanese",2
"American","Latvian",1
"American","Mexican",17
"American","Norwegian",3
"American","Polish",4
"American","Russian",8
"American","Spanish",25
"American","Swedish",4
"American","Swiss",13
"Argentine","Belgian",1
"Argentine","Brazilian",1
"Argentine","Finnish",1
"Argentine","Guatemalan",1
"Argentine","Hungarian",1
"Argentine","Mexican",1
"Argentine","Russian",1
"Argentine","Swedish",1
"Australian","Dutch",1
"Australian","French",1
"Australian","Mexican",1
"Austrian","Argentine",1
"Austrian","Brazilian",2
"Austrian","British",2
"Austrian","Canadian",1
"Austrian","Chilean",2
"Austrian","Cuban",3
"Austrian","Czech",1
"Austrian","English",1
"Austrian","Guatemalan",2
"Austrian","Italian",1
"Austrian","Latvian",1
"Austrian","Mexican",1
"Austrian","Norwegian",2
"Austrian","Polish",2
"Austrian","Russian",4
"Austrian","Swiss",1
"Belgian","Argentine",1
"Belgian","Austrian",4
"Belgian","Brazilian",4
"Belgian","British",2
"Belgian","Chilean",2
"Belgian","Cuban",4
"Belgian","Czech",1
"Belgian","Dutch",3
"Belgian","Finnish",1
"Belgian","French",1
"Belgian","Guatemalan",3
"Belgian","Hungarian",1
"Belgian","Mexican",2
"Belgian","Norwegian",2
"Belgian","Polish",2
"Belgian","Russian",3
"Belgian","Spanish",2
"Belgian","Swedish",1
"Belgian","Swiss",2
"Brazilian","Austrian",1
"Brazilian","British",1
"Brazilian","Canadian",1
"Brazilian","Chilean",2
"Brazilian","Cuban",2
"Brazilian","Dutch",1
"Brazilian","Finnish",1
"Brazilian","French",2
"Brazilian","Guatemalan",2
"Brazilian","Hungarian",1
"Brazilian","Italian",1
"Brazilian","Mexican",1
"Brazilian","Russian",1
"Brazilian","Spanish",2
"Brazilian","Swiss",1
"British","American",2
"British","Argentine",2
"British","Austrian",2
"British","Belgian",3
"British","Brazilian",3
"British","Canadian",1
"British","Chilean",1
"British","Cuban",2
"British","Czech",2
"British","Dutch",4
"British","English",1
"British","Finnish",2
"British","French",5
"British","German",4
"British","Guatemalan",2
"British","Hungarian",1
"British","Italian",9
"British","Mexican",7
"British","Norwegian",1
"British","Polish",2
"British","Russian",4
"British","Spanish",7
"British","Swedish",2
"British","Swiss",5
"Canadian","German",1
"Canadian","Swiss",1
"Chilean","American",2
"Chilean","Austrian",1
"Chilean","Brazilian",1
"Chilean","Canadian",1
"Chilean","Cuban",2
"Chilean","Dutch",1
"Chilean","French",1
"Chilean","Guatemalan",2
"Chilean","Mexican",2
"Chilean","Russian",1
"Chilean","Spanish",2
"Cuban","American",1
"Cuban","Argentine",1
"Cuban","Austrian",1
"Cuban","Brazilian",2
"Cuban","British",2
"Cuban","Canadian",1
"Cuban","Chilean",3
"Cuban","Dutch",2
"Cuban","German",1
"Cuban","Guatemalan",2
"Cuban","Mexican",2
"Cuban","Norwegian",1
"Cuban","Polish",1
"Cuban","Russian",3
"Cuban","Spanish",2
"Czech","Austrian",1
"Czech","Brazilian",1
"Czech","Canadian",1
"Czech","Chilean",1
"Czech","Cuban",1
"Czech","German",1
"Czech","Guatemalan",1
"Czech","Russian",1
"Dutch","American",2
"Dutch","Argentine",2
"Dutch","Austrian",6
"Dutch","Belgian",2
