"Id","Label"
"American","American"
"German","German"
"Swiss","Swiss"
"French","French"
"Italian","Italian"
"Spanish","Spanish"
"Belgian","Belgian"
"British","British"
"Dutch","Dutch"
"English","English"
"Austrian","Austrian"
"Norwegian","Norwegian"
"Mexican","Mexican"
"Brazilian","Brazilian"
"Finnish","Finnish"
"Catalan","Catalan"
"Danish","Danish"
"Swedish","Swedish"
"Florentine","Florentine"
"Venetian","Venetian"
"Russian","Russian"
"Guatemalan","Guatemalan"
"Peruvian","Peruvian"
"Canadian","Canadian"
"Bolivian","Bolivian"
"Cuban","Cuban"
"Irish","Irish"
"Flemish","Flemish"
"Netherlandish","Netherlandish"
"Japanese","Japanese"
"Czech","Czech"
"Scottish","Scottish"
"Israeli","Israeli"
"Chinese","Chinese"
"Argentine","Argentine"
"Chilean","Chilean"
"Colombian","Colombian"
"Hungarian","Hungarian"
"Uruguayan","Uruguayan"
"Ecuadorian","Ecuadorian"
"Russian-Lithuanian","Russian-Lithuanian"
"Latvian","Latvian"
"Polish","Polish"
